id,name,description
FK,Holders of Foundational Knowledge,"Curious people who are knowledgeable about the world—its history, literature, and cultures, its sciences and underlying mathematics. Engaged participants who are committed to a just and functional democracy, and who participate fully in all America has to offer. See your own place in history."
FL,Masters of All Fundamental Literacies,"Critical readers. Compelling writers. Mathematical and numeric thinkers. Data and visual thinkers. Capable learners who are well-prepared for college, career, and life. Take a seat at the table."
GC,Generous Collaborators for Tough Problems,Self-aware team members who bring their strengths. Talent-seekers who find the expertise of others. Essential co-creators and inquisitive world citizens who seek out and respect diverse points of view. Embrace complexity; act ethically.
LL,Learners for Life,"Self-driven, self-directed inventors of their own learning paths, careers, and lives. Be curious; stay curious."
OT,Original Thinkers for an Uncertain World,"Sense-makers who work effectively with conflicting knowledge. Generative thinkers and innovators who can navigate new and ambiguous situations. Creative thinkers who see problems from different perspectives. Be forerunners, not followers."
